Order Date,Customer ID,Category,Sub-Category,Sales,Quantity,Discount,Marketing,Sales Compensation,Returned
2014-05-10,AH-690134,Office Supplies,Storage,13.2,2,0.6,0,1.42,FALSE
2012-08-15,AM-10360139,Technology,Phones,4453.05,7,0,1424.85,433.41,FALSE
2015-08-29,BV-1124528,Furniture,Tables,2320.64,5,0.2,0,130.77,FALSE
2015-05-07,TC-21475130,Technology,Accessories,346.5882,9,0.47,0,21.13,FALSE
2013-05-10,BW-1111058,Technology,Accessories,334.68,4,0,83.64,63.87,FALSE
2015-09-16,TC-211451406,Furniture,Chairs,512.96,4,0,143.6288,88.83,FALSE
2013-06-22,RF-1984093,Technology,Copiers,159.68,2,0.002,70.08,20.629,FALSE
2014-02-11,MZ-1751558,Office Supplies,Labels,38.04,8,0.5,0,5.64,FALSE
2014-04-23,AJ-1078018,Office Supplies,Fasteners,7.072,2,0.6,0,1.356,TRUE
2015-06-23,EA-1403598,Office Supplies,Supplies,132.972,7,0.4,0,19.62,FALSE
2015-09-16,AJ-109457,Office Supplies,Envelopes,80.028,4,0.1,14.148,3.46,FALSE
2014-06-07,RB-197951404,Office Supplies,Labels,22.05,7,0,10.584,1.72,FALSE
2015-08-28,BP-111851406,Office Supplies,Paper,12.672,3,0.2,3.96,4.31,FALSE
2012-05-30,CM-2715107,Furniture,Tables,336.45,1,0,43.71,33.79,FALSE
2012-09-11,PT-190901402,Office Supplies,Binders,5.18,5,0.8,0,1.48,FALSE
2014-05-19,PO-1885058,Technology,Phones,418.5,3,0,33.48,35.79,FALSE
2015-02-20,JP-6135108,Office Supplies,Storage,213.12,4,0,106.56,16.53,FALSE
2014-09-06,MV-174851406,Office Supplies,Paper,192.16,4,0,92.2368,9.7,FALSE
2015-11-17,AP-1072059,Furniture,Furnishings,239.148,14,0.27,0,35.05,FALSE
2014-09-03,JD-1615091,Office Supplies,Art,18.93,2,0.5,0,2.48,FALSE
2012-11-28,KT-1646527,Office Supplies,Appliances,925.92,3,0,101.79,44.99,FALSE
2014-03-13,DK-132251404,Furniture,Chairs,770.352,3,0.2,77.0352,48.85,FALSE
2012-04-10,JK-153701408,Office Supplies,Fasteners,6.912,3,0.2,2.3328,1.45,FALSE
2015-04-05,TA-213851406,Office Supplies,Art,7.04,4,0,2.0416,1.73,FALSE
2015-05-19,PR-1888045,Technology,Phones,283.611,2,0.15,43.371,58.24,FALSE
2014-11-05,BT-1680137,Technology,Accessories,228.78,2,0,36.6,24.73,FALSE
2015-11-25,BM-1178528,Furniture,Bookcases,731.82,3,0,146.34,44.594,FALSE
2012-02-15,ST-205301402,Office Supplies,Paper,16.176,3,0.2,6.066,1.27,FALSE
2012-08-31,JL-513038,Office Supplies,Storage,24,1,0,2.88,2.51,FALSE
2013-09-01,SD-20485139,Office Supplies,Art,140.94,6,0.1,25.02,20.37,FALSE
2013-09-12,TM-210101406,Office Supplies,Envelopes,27.18,1,0,12.7746,1.91,FALSE
